Part Name,Manufacturer/Type,Designator,Quantity,Supplier,Attrition Type,LCSC Part#,Unit Price
TYPE-C 16PIN 2MD(073),System,USB1,3,JLCPCB,Extended,C2765186,$0.2223
XY308-2.54-2P,System,J1,2,JLCPCB,Extended,C557685,$0.4924
TS-1088-AR02016,System,"SW1,SW2",8,JLCPCB,Basic,C720477,$0.4448
GRM155R60J226ME11D,System,"C17,C18",8,JLCPCB,Extended,C415703,$1.1928
CL21A226MAQNNNE,System,"C10,C11,C13",6,JLCPCB,Basic,C45783,$2.1432
GRM0335C1H6R8CA01D,System,"C35,C36",20,JLCPCB,Extended,C85916,$0.1540
CC0201KRX5R7BB473,System,C4,20,JLCPCB,Extended,C505465,$0.1220
Q13FC13500004,System,X2,5,JLCPCB,Basic,C32346,$0.8650
0201WMF5231TEE,Customer,R4,20,JLCPCB,Extended,C423492,$0.0300
TPS63070RNMR,System,U5,2,JLCPCB,Extended,C109322,$3.3682
DFE252012F-1R0M=P2,System,L1,5,JLCPCB,Extended,C435392,$0.6150
CL05A225MQ5NSNC,System,"C16,C32",20,JLCPCB,Basic,C12530,$0.1300
CL10A106KP8NNNC,System,"C2,C31",20,JLCPCB,Basic,C19702,$0.7000
CC0201JRNPO9BN200,System,"C33,C34",20,JLCPCB,Extended,C325444,$0.0860
BMP580,System,U4,2,JLCPCB,Extended,C22391138,$2.4068
GRM033R61A104KE15D,System,"C19,C20,C21,C22,C23,C24,C25,C26,C27,C37",32,JLCPCB,Extended,C76934,$0.2240
CL05A106MQ5NUNC,System,"C12,C3,C5,C7,C8,C9",22,JLCPCB,Basic,C15525,$0.5610
X322525MOB4SI,System,X1,6,JLCPCB,Basic,C9006,$0.5664
CL05A105KA5NQNC,System,"C1,C28,C29,C30",20,JLCPCB,Basic,C52923,$0.2420
TF-01A,System,CARD1,2,JLCPCB,Extended,C2889258,$0.1928
CL05B104KO5NNNC,System,"C14,C15",20,JLCPCB,Basic,C1525,$0.1100
STM32F722RET6,Customer,U3,2,JLCPCB,Extended,C118207,$19.8390
FCM1608KF-601T03,System,L2,20,JLCPCB,Extended,C141723,$0.2040
YHNR3015-5R6M,System,L3,15,JLCPCB,Extended,C18236327,$1.1310
LMR51430XDDCR,System,U6,2,JLCPCB,Extended,C5185863,$1.8742
XFL4020-152MEC,System,L4,2,JLCPCB,Extended,C3033018,$6.9574
CR0201FH1002G,Customer,"R10,R11,R12,R13,R16,R17,R18,R19,R20,R21,R22,R6,R7,R8,R9",42,JLCPCB,Extended,C100126,$0.1806
BQ25883RGER,System,U1,2,JLCPCB,Extended,C544362,$7.9512
ICM-45686,System,U2,2,JLCPCB,Extended,C22459454,$23.6716
2.54-1*3P,System,"J2,J3",6,JLCPCB,Extended,C49257,$0.0556
RC0402FR-07100KL,System,R14,2,JLCPCB,Basic,C60491,$0.0088
YAGEO RT0201BRD075K1L,System,"R1,R2",4,JLCPCB,Extended,C852257,$0.2424
VISHAY CRCW020130K1FKED,System,R5,2,JLCPCB,Extended,C2087349,$0.0028
UNI-ROYAL 0201WMF2212TEE,System,R15,2,JLCPCB,Extended,C423662,$0.0030
CHONGTIAN CT-1005UBC-P4,System,D1,2,JLCPCB,Extended,C52675962,$0.0132
